date,hour,value,RIC
2023-12-13,19,122.01,HEEGRAUCH
2023-12-13,18,122.08,HEEGRAUCH
2023-12-13,17,122.01,HEEGRAUCH
2023-12-13,16,119.14,HEEGRAUCH
2023-12-13,15,117.5,HEEGRAUCH
2023-12-13,14,114,HEEGRAUCH
2023-12-13,13,112.06,HEEGRAUCH
2023-12-13,12,114.6,HEEGRAUCH
2023-12-13,11,115.33,HEEGRAUCH
2023-12-13,10,122,HEEGRAUCH
2023-12-13,9,125.74,HEEGRAUCH
2023-12-13,8,131.65,HEEGRAUCH
2023-12-13,7,139.47,HEEGRAUCH
2023-12-13,6,113.06,HEEGRAUCH
2023-12-13,5,95,HEEGRAUCH
2023-12-13,4,80.32,HEEGRAUCH
2023-12-13,3,80,HEEGRAUCH
2023-12-13,2,87.1,HEEGRAUCH
2023-12-13,1,90,HEEGRAUCH
2023-12-12,24,96.86,HEEGRAUCH
2023-12-12,23,122,HEEGRAUCH
2023-12-12,22,117.01,HEEGRAUCH
2023-12-12,21,122.23,HEEGRAUCH
2023-12-12,20,141.43,HEEGRAUCH
2023-12-12,19,146.56,HEEGRAUCH
2023-12-12,18,200.01,HEEGRAUCH
2023-12-12,17,219.11,HEEGRAUCH
2023-12-12,16,138.94,HEEGRAUCH
2023-12-12,15,131.55,HEEGRAUCH
2023-12-12,14,123,HEEGRAUCH
2023-12-12,13,120,HEEGRAUCH
2023-12-12,12,124.52,HEEGRAUCH
2023-12-12,11,129.99,HEEGRAUCH
2023-12-12,10,129.88,HEEGRAUCH
2023-12-12,9,150.04,HEEGRAUCH
2023-12-12,8,130.06,HEEGRAUCH
2023-12-12,7,131.36,HEEGRAUCH
2023-12-12,6,97.46,HEEGRAUCH
2023-12-12,5,86.03,HEEGRAUCH
2023-12-12,4,84.42,HEEGRAUCH
2023-12-12,3,85.62,HEEGRAUCH
2023-12-12,2,87.06,HEEGRAUCH
2023-12-12,1,91.05,HEEGRAUCH
2023-12-11,24,94.3,HEEGRAUCH
2023-12-11,23,110.93,HEEGRAUCH
2023-12-11,22,117.87,HEEGRAUCH
2023-12-11,21,120,HEEGRAUCH
2023-12-11,20,132.82,HEEGRAUCH
2023-12-11,19,135.14,HEEGRAUCH
2023-12-11,18,142.05,HEEGRAUCH
2023-12-11,17,187.57,HEEGRAUCH
2023-12-11,16,148.54,HEEGRAUCH
2023-12-11,15,128.7,HEEGRAUCH
2023-12-11,14,119.76,HEEGRAUCH
2023-12-11,13,117.29,HEEGRAUCH
2023-12-11,12,112.55,HEEGRAUCH
2023-12-11,11,122.01,HEEGRAUCH
2023-12-11,10,129.14,HEEGRAUCH
2023-12-11,9,146.64,HEEGRAUCH
2023-12-11,8,126.39,HEEGRAUCH
2023-12-11,7,122,HEEGRAUCH
2023-12-11,6,98.5,HEEGRAUCH
2023-12-11,5,94.3,HEEGRAUCH
2023-12-11,4,45.3,HEEGRAUCH
2023-12-11,3,109.9,HEEGRAUCH
2023-12-11,2,111.53,HEEGRAUCH
2023-12-11,1,113.79,HEEGRAUCH
2023-12-10,24,106.97,HEEGRAUCH
2023-12-10,23,115,HEEGRAUCH
2023-12-10,22,117.23,HEEGRAUCH
2023-12-10,21,129.33,HEEGRAUCH
2023-12-10,20,135,HEEGRAUCH
2023-12-10,19,127.45,HEEGRAUCH
2023-12-10,18,128.89,HEEGRAUCH
2023-12-10,17,129.12,HEEGRAUCH
2023-12-10,16,122,HEEGRAUCH
2023-12-10,15,92.51,HEEGRAUCH
2023-12-10,14,77.72,HEEGRAUCH
2023-12-10,13,78.39,HEEGRAUCH
2023-12-10,12,80.25,HEEGRAUCH
2023-12-10,11,84.77,HEEGRAUCH
2023-12-10,10,81.29,HEEGRAUCH
2023-12-10,9,75.63,HEEGRAUCH
2023-12-10,8,92.72,HEEGRAUCH
2023-12-10,7,92.72,HEEGRAUCH
2023-12-10,6,86.64,HEEGRAUCH
2023-12-10,5,81.76,HEEGRAUCH
2023-12-10,4,83.46,HEEGRAUCH
2023-12-10,3,86.93,HEEGRAUCH
2023-12-10,2,97.23,HEEGRAUCH
2023-12-10,1,111.92,HEEGRAUCH
2023-12-09,24,114.31,HEEGRAUCH
2023-12-09,23,116,HEEGRAUCH
2023-12-09,22,106.77,HEEGRAUCH
2023-12-09,21,112.84,HEEGRAUCH
2023-12-09,20,123.32,HEEGRAUCH
2023-12-09,19,122.01,HEEGRAUCH
2023-12-09,18,128.33,HEEGRAUCH
2023-12-09,17,124,HEEGRAUCH
2023-12-09,16,115.67,HEEGRAUCH
2023-12-09,15,113.63,HEEGRAUCH
2023-12-09,14,113.15,HEEGRAUCH
2023-12-09,13,109.35,HEEGRAUCH
2023-12-09,12,110.82,HEEGRAUCH
2023-12-09,11,105,HEEGRAUCH
2023-12-09,10,90,HEEGRAUCH
2023-12-09,9,97.38,HEEGRAUCH
2023-12-09,8,87.74,HEEGRAUCH
2023-12-09,7,76.04,HEEGRAUCH
2023-12-09,6,72.44,HEEGRAUCH
2023-12-09,5,69.67,HEEGRAUCH
2023-12-09,4,73.07,HEEGRAUCH
2023-12-09,3,79.49,HEEGRAUCH
2023-12-09,2,92.63,HEEGRAUCH
2023-12-09,1,95,HEEGRAUCH
2023-12-08,24,110.85,HEEGRAUCH
2023-12-08,23,108.36,HEEGRAUCH
2023-12-08,22,101.12,HEEGRAUCH
2023-12-08,21,110.36,HEEGRAUCH
2023-12-08,20,121.19,HEEGRAUCH
2023-12-08,19,118.6,HEEGRAUCH
2023-12-08,18,123.06,HEEGRAUCH
2023-12-08,17,123.37,HEEGRAUCH
2023-12-08,16,121.41,HEEGRAUCH
2023-12-08,15,119.57,HEEGRAUCH
2023-12-08,14,119,HEEGRAUCH
2023-12-08,13,110,HEEGRAUCH
2023-12-08,12,107.13,HEEGRAUCH
2023-12-08,11,111.71,HEEGRAUCH
2023-12-08,10,111.68,HEEGRAUCH
2023-12-08,9,120.13,HEEGRAUCH
